Date,OPEN,VOLUME,TodaysOpenGreaterThanNextWeekAverage(Classifier),AverageChangeLast-5,AverageChangeLast-10,AverageChangeLast-30
10/13/2015,78.72,12326598.00,1.00,2.18,4.33,0.10
10/12/2015,79.59,9931754.00,1.00,1.99,3.69,-0.48
10/9/2015,80.05,17384670.00,1.00,4.57,2.41,0.21
10/8/2015,79.31,14344692.00,1.00,1.57,2.97,3.20
10/7/2015,78.97,18700810.00,1.00,2.40,1.41,2.17
10/6/2015,76.96,18756794.00,1.00,2.16,1.42,5.18
10/5/2015,76.65,18486540.00,1.00,1.35,0.33,-1.08
10/2/2015,73.39,18807816.00,1.00,0.15,-0.16,-3.03
10/1/2015,75.20,14397547.00,1.00,1.18,-1.26,-4.46
9/30/2015,73.40,17981786.00,1.00,-0.10,-0.37,-5.37
9/29/2015,72.65,13747877.00,1.00,0.37,0.69,-4.57
9/28/2015,72.62,14487427.00,1.00,-0.22,0.81,-5.09
9/25/2015,73.29,15175167.00,1.00,-0.49,0.66,-4.59
9/24/2015,72.00,14584249.00,1.00,-1.30,0.23,-3.51
9/23/2015,72.87,13784836.00,1.00,0.00,-1.36,-2.90
9/22/2015,72.35,14244885.00,1.00,1.10,-0.63,-2.78
9/21/2015,73.10,10851972.00,0.00,1.05,0.07,-3.13
9/18/2015,73.26,23180160.00,0.00,0.96,-0.53,-2.34
