@relation 'testData (Autosaved)'

@attribute Date date "MM/dd/yyyy"
@attribute OPEN numeric
@attribute VOLUME numeric
@attribute AverageChangeLast-5 numeric
@attribute AverageChangeLast-10 numeric
@attribute AverageChangeLast-30 numeric
@attribute 'Crude Oil Imports(US)' numeric
@attribute DayToDay(Classifier) numeric

@data
3/24/2011,82.78,17009000,1.622,-2.141,1.191333,11566,1
3/25/2011,82.99,16497300,0.546,0.774,1.957333,11518,1
3/28/2011,83.86,14608200,1,0.274,1.421333,11518,1
3/29/2011,83.16,16277400,-0.104,1.883,1.603,11518,0
3/30/2011,83.8,15770400,0.484,1.009,-1.172333,11518,1
3/31/2011,84.82,15317800,0.732,2.377,0.608333,11518,1
4/1/2011,84.72,15531500,0.802,1.284,-0.287,11578,0
4/4/2011,84.26,13096100,0.144,1.567,-0.200333,11578,1
4/5/2011,84.68,17122600,1.124,0.54,-1.248,11578,1
4/6/2011,85.73,13339700,0.918,1.276,-2.278667,11578,1
4/7/2011,85.16,16006700,0.036,1.404,-3.541667,11578,1
4/8/2011,86,15943200,0.462,1.497,-2.138667,11007,1
4/11/2011,85.95,13026500,1.176,0.86,-2.198333,11007,0
4/12/2011,84.24,20728800,0.814,1.729,-2.750667,11007,0
4/13/2011,83.58,14489400,-0.684,1.082,-0.984667,11007,0
4/14/2011,82.38,15717500,-0.518,-0.071,-1.918667,11007,0
4/15/2011,83.8,17022500,-1.822,-0.04,-2.458,10657,1
4/18/2011,83.11,15107300,-2.104,0.381,-2.404333,10657,0
4/19/2011,82.97,12770800,-0.806,-0.216,-1.218333,10657,1
4/20/2011,85.05,15447600,-0.022,-1.428,-0.765,10657,1
4/21/2011,85.765,12797200,1.676,-0.811,-0.402667,10657,1
4/25/2011,86.29,9852800,0.84,-1.591,2.543333,10657,1
4/26/2011,86.43,17908800,1.916,-1.514,2.03,10657,1
4/27/2011,87.48,17755800,2.92,0.422,3.698,10657,1
4/28/2011,87.03,18705300,1.636,1.542,2.851,10657,0
4/29/2011,87.43,17352300,1.259,3.16,3.968667,11785,1
5/2/2011,88.1,18651200,1.058,2.194,2.806,11785,0
5/3/2011,86.59,18417100,1.068,3.152,2.91,11785,0
5/4/2011,85.19,22867000,-0.342,3.544,1.772667,11785,0
5/5/2011,83.52,27491200,-0.486,1.565,2.297667,11785,0
5/6/2011,83.27,26314700,-1.83,0.547,2.168333,11583,0
5/9/2011,83.01,18254600,-3.558,-0.345,1.957,11583,0
5/10/2011,83.08,17695700,-2.806,-0.789,1.072333,11583,1
5/11/2011,82.51,24192000,-1.862,-2.247,1.768,11583,0
5/12/2011,80.62,21853600,-0.93,-2.463,1.057,11583,0
5/13/2011,81.29,17628500,-0.994,-3.492,-0.077667,10830,1
5/16/2011,80.22,16435100,-1.098,-4.873,-0.086333,10830,0
5/17/2011,79.99,18067800,-1.756,-4.036,0.225667,10830,1
5/18/2011,80.88,17957000,-1.772,-3.157,-0.343,10830,1
5/19/2011,82.27,15229100,0.242,-1.794,-1.515667,10830,1
5/20/2011,81.98,19003400,-0.172,-1.573,-1.040667,12246,0
